afghanistan,botswana,chile,china,cuba,egypt,germany,haiti,india,iran,iraq,israel,japan,libya,mexico,norway,philippines,poland,russia,singapore,syria,ukraine,united states,vietnam
,,,,,,,,,,,,,,,,,,,,,,"""America does not stand stillâ€”and neither will I."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""I believe this can be a breakthrough year for America."" â€”President Obama #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""I want every young man in America to know that real men donâ€™t hurt women."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Climate change is threatening the bottom line of American businesses. Here's what they're doing about it:http://ofa.bo/h0pÂ ,
,,,,,,,,,,,,,,,,,,,,,,How much longer will 1.6 million American job seekers go without unemployment insurance? #RenewUIpic.twitter.com/cQh2n8aUp2,
,,,,,,,,,,,,,,,,,,,,,,A majority of Americans in every single congressional district support #ENDA protections for LGBT people: http://ofa.bo/s00Â ,
,,,,,,,,,,,,,,,,,,,,,,"""Young Americans finally have better access to quality, affordable health care."" Read more from @KalPenn:http://ofa.bo/r00Â ",
,,,,,,,,,,,,,,,,,,,,,,"""I firmly believe that this can be a breakthrough year for America."" â€”President Obamahttp://ofa.bo/b04Â ",
,,,,,,,,,,,,,,,,,,,,,,"For many Americans, the Affordable Care Act means getting health insurance for the first time. Listen up: http://ofa.bo/teÂ  h/t @NPR",
,,,,,,,,,,,,,,,,,,,,,,"""The next generation of manufacturing will be an American revolution."" â€”President Obama #InnovationNation",
,,,,,,,,,,,,,,,,,,,,,,"""In a 21st century economy, we will make sure that as America grows stronger, this recovery leaves no one behind."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Six million Americans have gotten covered. Have you? http://ofa.bo/bjÂ pic.twitter.com/KOWEd1SR6E,
,,,,,,,,,,,,,,,,,,,,,,"In America, helping those who have fallen on tough times isn't a tough call. http://ofa.bo/faÂ  #RenewUI",
,,,,,,,,,,,,,,,,,,,,,,"""I can't name a time when I met an American who would rather have an unemployment check than the pride of having a job."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""We donâ€™t abandon our fellow Americans when times get toughâ€”we keep the faith with them until they start that new job."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""2014 can be a breakthrough year for America."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"For millions of previously uninsured Americans, affordable health insurance is finally in reach.pic.twitter.com/Hy3g0Uhpxs",
,,,,,,,,,,,,,,,,,,,,,,"Thanks to the Affordable Care Act, tens of millions of Americans can't be denied health care due to a pre-existing condition.",
,,,,,,,,,,,,,,,,,,,,,,Heard the good news yet? 1.2 million Americans got covered between October and November.pic.twitter.com/l4tKF1GeUi,
,,,,,,,,,,,,,,,,,,,,,,"Big news: In the past two months, 1.2 million Americans got covered, thanks to the Affordable Care Act.http://OFA.BO/YkRG9EÂ ",
,,,,,,,,,,,,,,,,,,,,,,"President Obama on Democrats and Republicans coming together: ""That's the way the American people expect Washington to work.""",
,,,,,,,,,,,,,,,,,,,,,,60 million Americans will benefit from expanded mental health benefits under the Affordable Care Act.pic.twitter.com/fZyXmmVX3j,
,,,,,,,,,,,,,,,,,,,,,,"""Each of the Big Three automakers is now strong enough to stand on its own ... The American auto industry is back."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"President Obama to Congressional Republicans: ""You owe it to the American people to tell us what you are for, not just what you're against.""",
,,,,,,,,,,,,,,,,,,,,,,"""A broad majority of Americans agree we should raise the minimum wage."" â€”President Obama on creating #ABetterBargain for the middle class",
,,,,,,,,,,,,,,,,,,,,,,President Obama: Our kids should grow up in an America where opportunity is real. #ABetterBargain,
,,,,,,,,,,,,,,,,,,,,,,"""Let's help our fellow Americans get covered. Let's give every American a fighting chance."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Beginning in January, no American will be denied health coverage because of their HIV status."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,A majority of Americans have consistently supported a pathway to citizenship. http://OFA.BO/T9B9SVÂ  It's time to #ActOnReform.,
,,,,,,,,,,,,,,,,,,,,,,Show your support to #RaiseTheWage for millions of American workers: http://OFA.BO/exNtBXÂ pic.twitter.com/Ti5cjMpoXV,
,,,,,,,,,,,,,,,,,,,,,,It's time to raise the minimum wage for American workers. Let's do this.http://OFA.BO/3gBU2CÂ ,
,,,,,,,,,,,,,,,,,,,,,,"In cities across America, the living wage has outpaced the federal minimum wage. It's time to #RaiseTheWagepic.twitter.com/WjyZAcD7fy",
,,,,,,,,,,,,,,,,,,,,,,Good news: The number of uninsured children in America is on the decline. Read more: http://OFA.BO/5THvyqÂ  #Obamacare,
,,,,,,,,,,,,,,,,,,,,,,It's time to raise the minimum wage for all Americans. Add your name today to be part of this fight: http://OFA.BO/yyLFCuÂ  #RaiseTheWage,
,,,,,,,,,,,,,,,,,,,,,,"""We have to do everything we can to make sure every American has access to quality, affordable health care."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Most Americans agree: It's time to raise the minimum wage.http://OFA.BO/wJMEquÂ ,
,,,,,,,,,,,,,,,,,,,,,,A majority of Americans support limiting carbon pollution from power plants to combat climate change. Learn more:http://OFA.BO/Ek6P1VÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""Today, we gather once more to honor patriots who have rendered the highest service any American can offer this nation."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Make sure Americans have the information they need to #GetCovered. Join Team Obamacare: http://OFA.BO/JPRuYFÂ pic.twitter.com/mJZozVtN5X,
,,,,,,,,,,,,,,,,,,,,,,40% of all carbon pollution in America comes from our power plants. Support the @EPA's new limits on pollution:http://OFA.BO/KPdc6FÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""This country works best when we're working together."" â€”President Obama #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,The Senate just passed #ENDA 64-32â€”now it's time for the House to take action to protect LGBT American workers from workplace discrimination,
,,,,,,,,,,,,,,,,,,,,,,"One year ago, Americans voted for an agenda to move this country forward.pic.twitter.com/ixXKyx8vA6",
,,,,,,,,,,,,,,,,,,,,,,It's time to put aside aside politics and extend basic workplace protections to all LGBT Americans: http://OFA.BO/hXyd5jÂ  #ENDA,
,,,,,,,,,,,,,,,,,,,,,,"""Most Americans don't see things through a political lens or an ideological lens."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"â€œIf they put in as much energy into making this law work as they do attacking the law, Americans would be better off.â€ â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Today, we remember our fellow Americans who lost their lives to that storm."" â€”President Obama on the anniversary of Hurricane Sandy #O29",
,,,,,,,,,,,,,,,,,,,,,,A majority of Americansâ€”Republicans and Democratsâ€”support the Employment Non-Discrimination Act. Let's do this. http://OFA.BO/Zt7jzjÂ  #ENDA,
,,,,,,,,,,,,,,,,,,,,,,"""Iâ€™ll never stop fighting to help more hardworking Americans know the economic security of health care."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Stand up for LGBT Americans. Support the Employment Non-Discrimination Act today: http://OFA.BO/LWmZVZÂ pic.twitter.com/DRzLOiQWpe,
,,,,,,,,,,,,,,,,,,,,,,America is making strides toward full equality for all families. Share your #MarriageEquality story: http://OFA.BO/2fw6HiÂ  #LoveIsLove,
,,,,,,,,,,,,,,,,,,,,,,"""We come from different parties, but we are Americans first ... Disagreement cannot mean disfunction."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""The good news is we'll bounce back from this. We always do. America is the bedrock of the global economy for a reason."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""Let's be clear, there are no winners here ... The American people are completely fed up with Washington."" â€”President Obama on the #shutdown",
,,,,,,,,,,,,,,,,,,,,,,Thanks to the millions of Americans who made their voices heard and helped bring the shutdown to an end. Now let's get back to work.,
,,,,,,,,,,,,,,,,,,,,,,America is just days away from an economic shutdown if Congress doesn't do its job. #EndThisNowpic.twitter.com/hocrO0GK9q,
,,,,,,,,,,,,,,,,,,,,,,"If the debt ceiling isn't raised by Thursday, America could face an economic shutdown. #EndThisNowpic.twitter.com/PCnKJD7l6v",
,,,,,,,,,,,,,,,,,,,,,,Watch: Americans want Tea Party Republicans to stop holding our economy hostage and end this shutdown. http://OFA.BO/oRXKbBÂ  #EnoughAlready,
,,,,,,,,,,,,,,,,,,,,,,"Americans are frustrated with the #TeaPartyShutdown, and they're sending a clear message to @SpeakerBoehner:http://OFA.BO/EK5bAHÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""The American people donâ€™t get to demand ransom in exchange for doing their job. Neither does Congress."" â€”President Obama on the #shutdown",
,,,,,,,,,,,,,,,,,,,,,,"""In a government shutdown, millions of Americansâ€”not just government workers ... face economic hardship."" â€”President Obama #EnoughAlready",
,,,,,,,,,,,,,,,,,,,,,,Day two of @SpeakerBoehner's shutdown. Donâ€™t put our economy or the American people through this any longer: #EnoughAlready,
,,,,,,,,,,,,,,,,,,,,,,"""For the 15% of Americans who don't have health insurance, this opportunity is life changing."" â€”President Obama on the launch of #Obamacare",
,,,,,,,,,,,,,,,,,,,,,,"This is huge: Today millions of Americans finally have the chance to enroll in quality, affordable health care. #GetCovered",
,,,,,,,,,,,,,,,,,,,,,,Americans have worked too hard in this recovery to see extremists in Congress cause another crisis: http://OFA.BO/Go8pVkÂ  #EnoughAlready,
,,,,,,,,,,,,,,,,,,,,,,"Weekly address: Starting Tuesday, millions of Americans finally have a chance to buy quality, affordable health care.http://OFA.BO/TbdLX6Â ",
,,,,,,,,,,,,,,,,,,,,,,"If you're sick and tired of Congress playing political games with Americans' health care, tell them #EnoughAlready:http://OFA.BO/uAaFSLÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""Let's make sure the United States of America keeps being a place where you can make it if you try."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""I will not negotiate on anything when it comes to the full faith and credit of the United States of America."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"President Obama summarizing the new health care law for millions of Americans: ""You're covered.""",
,,,,,,,,,,,,,,,,,,,,,,Americans are standing up and saying #EnoughAlready to Congress. Join in: http://OFA.BO/3Js6amÂ pic.twitter.com/72nxo9IL2n,
,,,,,,,,,,,,,,,,,,,,,,"""A mom should not have to go bankrupt if her son or daughter gets sick ... I think most Americans agree with that"" â€”President Obama #CGI2013",
,,,,,,,,,,,,,,,,,,,,,,A clear majority of Americans opposes the House's demand to defund #Obamacare or shut down the government.http://OFA.BO/BijQD6Â ,
,,,,,,,,,,,,,,,,,,,,,,Obamacare is already helping millions of Americansâ€”but a group of Republicans wants to shut down the government to defund it. #EnoughAlready,
,,,,,,,,,,,,,,,,,,,,,,"Spread the word: For millions of Americans, health insurance could cost $100 a month or less. http://OFA.BO/fsbF9jÂ  #Obamacare",
,,,,,,,,,,,,,,,,,,,,,,"Thanks to #Obamacare, health insurance providers will no longer be able to discriminate against LGBT Americans.pic.twitter.com/NuDlDjaDk9",
,,,,,,,,,,,,,,,,,,,,,,"It's 2013, and millions of LGBT Americans still lack basic protection from discrimination under the law. http://OFA.BO/wz57XjÂ  #ENDA",
,,,,,,,,,,,,,,,,,,,,,,America has always been a nation of immigrants. Honor that heritage by supporting #immigration reform:http://OFA.BO/5WjKFvÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""Because they marched ... America changed for you and for me."" â€”President Obama #MLKDream50",
,,,,,,,,,,,,,,,,,,,,,,"If you're one of millions of young Americans w/out health insurance, you can get affordable coverage starting Oct. 1 http://OFA.BO/HealthcareÂ ",
,,,,,,,,,,,,,,,,,,,,,,"When it comes to gun violence prevention, nine in 10 Americans supported expanded background checks. #WhatWillItTake to get Congress to act?",
,,,,,,,,,,,,,,,,,,,,,,"Nine in ten Americans supported expanded background checks, but Congress still did nothing. #WhatWillItTake for them to act?",
,,,,,,,,,,,,,,,,,,,,,,Join President Obama in calling on Congress to raise the federal minimum wage for millions of Americans:http://OFA.BO/otFY43Â ,
,,,,,,,,,,,,,,,,,,,,,,The President wants to give 15 million American workers a raise. Show your support for increasing the minimum wage:http://OFA.BO/TTuZALÂ ,
,,,,,,,,,,,,,,,,,,,,,,"""No one who works full-time in America should have to live in poverty."" â€”President Obama on raising the minimum wage. #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,"""Nobody in America, and certainly no veteran, should be left to live on the street."" â€”President Obama #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,"""A home is the ultimate evidence that here in America, hard work pays off and responsibility is rewarded."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,The American dream of homeownership is coming backâ€”American families are on pace to purchase more than 5M homes this year. #ABetterBargain,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree: Homeownership in America should be built on a durable and fair system. #ABetterBargain,
,,,,,,,,,,,,,,,,,,,,,,"#ObamacareIsWorking, and Americans are already seeing the benefits: http://OFA.BO/WsaANEÂ ",
,,,,,,,,,,,,,,,,,,,,,,"Before the House takes its 40th vote to repeal #Obamacare, read about 40 ways the law is working for Americans: http://OFA.BO/knjnZRÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""I will continue to stand with the majority of Americans who support common-sense reforms"" â€”President Obama, #NotBackingDown on gun violence",
,,,,,,,,,,,,,,,,,,,,,,"""Thereâ€™s no better place to do business than right here in the United States of America."" â€”President Obama #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,Raising minimum wage will lift Americans out of poverty and create more consumers to fuel the economy http://OFA.BO/KQFZRzÂ  #ABetterBargain,
,,,,,,,,,,,,,,,,,,,,,,"""We celebrate the ADA's lasting legacy as a pillar of civil rights."" â€”President Obama on the anniversary of Americans with Disabilities Act",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree middle-class Americans deserve the chance to retire with dignity. #ABetterBargain,
,,,,,,,,,,,,,,,,,,,,,,"""We're all Americans first and no party has a monopoly on good ideas"" â€”President Obama on need for bipartisan efforts toward #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,"""You can make it here in America if you're trying hard. That's what a college education can be all about."" â€”President Obama #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: If we don't invest in American education, we put our kids, workers, & businesses at a competitive disadvantage.",
,,,,,,,,,,,,,,,,,,,,,,"""We donâ€™t call it Johnâ€™s dream or Susieâ€™s dream or Barackâ€™s dream or Pat's dreamâ€”we call it the American Dream."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""I care about one thing and one thing only â€¦ to make this country work for working Americans again."" â€”President Obama #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,"""We've got to rebuild ladders of opportunity for all those Americans who haven't made it yet."" â€”President Obama #ABetterBargain",
,,,,,,,,,,,,,,,,,,,,,,"""Letâ€™s tell the world that America is open for business."" â€”President Obama wants #ABetterBargain for you:pic.twitter.com/GrjX52DlLg",
,,,,,,,,,,,,,,,,,,,,,,"""When the rungs on the ladder of opportunity grow farther and farther apart, it undermines the very essence of America."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,Voting is a basic American right. Add your name to say you support restoring the Voting Rights Act:http://OFA.BO/4vSb5AÂ ,
,,,,,,,,,,,,,,,,,,,,,,Thank you to 3.1 million @OFA volunteers & supporters making sure the voices of Americans are heard in Washington:http://OFA.BO/FWEk3bÂ ,
,,,,,,,,,,,,,,,,,,,,,,"FACT: 75% of Americans want to #ActOnClimate to strengthen communities against effects of climate change like flood, drought & fire. (@NRDC)",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree: The House should be focusing on #immigrationâ€”not trying to keep Americans from getting health care at a lower cost.,
,,,,,,,,,,,,,,,,,,,,,,"Instead of reforming #immigration, the House today is trying to keep millions of Americans from getting better health care at a lower cost.",
,,,,,,,,,,,,,,,,,,,,,,75% of Americansâ€”Democrats & Republicansâ€”agree that legal status for undocumented immigrants would help the economy:http://OFA.BO/CeQj9HÂ ,
,,,,,,,,,,,,,,,,,,,,,,"Retweet if you think we should eliminate wasteful tax breaks for the oil and gas industry, saving American taxpayers $4 billion a year.",
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since President Obama took office, Americaâ€™s dependence on foreign oil has decreased every year. #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,"""I wish Muslims across America & around the world a month blessed with the joys of family, peace & understanding."" â€”President Obama #Ramadan",
,,,,,,,,,,,,,,,,,,,,,,We are a nation of immigrants. Let's honor the #AmericanStory by fixing our broken immigration system. http://OFA.BO/EFFkj4Â ,
,,,,,,,,,,,,,,,,,,,,,,Health insurance premium rebates averaging nearly $100 per family are on their way to 8.5M Americans. http://OFA.BO/evHpaXÂ  #GoObamacare,
,,,,,,,,,,,,,,,,,,,,,,"One year ago today, the Supreme Court upheld #Obamacare. See how it's working for Americans today: http://OFA.BO/q1xpL3Â ",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree the Senate should pass immigration reform today. #AmericanStory,
,,,,,,,,,,,,,,,,,,,,,,"""As a president, as a father, and as an American, I'm here to say: We need to act."" â€”President Obama #ActOnClimate",
,,,,,,,,,,,,,,,,,,,,,,Immigrants are part of our #AmericanStoryâ€”and common-sense #immigration reform is part of our future economic growth:pic.twitter.com/z802TpxDqu,
,,,,,,,,,,,,,,,,,,,,,,"""I support the right of all Americans to marry the person they love."" â€”Senator @LisaMurkowski",
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree: Our immigration system should help unite families as quickly as possible. #AmericanStory,
,,,,,,,,,,,,,,,,,,,,,,Retweet if you agree that DREAMers are part of the #AmericanStory. #DACA,
,,,,,,,,,,,,,,,,,,,,,,Deferred Action for Childhood Arrivals allows young people who are American in every way except on paper to keep DREAMing. #DACA,
,,,,,,,,,,,,,,,,,,,,,,"Happy Flag Day, America. ""Wherever our American journey has taken us... Old Glory has followed."" â€”President Obamapic.twitter.com/eOjbNF8ssd",
,,,,,,,,,,,,,,,,,,,,,,"""We owe it to America to do better. We owe it to the DREAMers to do better."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,DREAMers were brought to this country through no fault of their own. Time to give them a chance to be part of the #AmericanStory.,
,,,,,,,,,,,,,,,,,,,,,,"President Obama on the American people: ""We have a sense of energy and dynamism and creativity that is not matched anywhere in the world.""",
,,,,,,,,,,,,,,,,,,,,,,#WhatHasObamaCareDoneForMeLately? More than 71 million Americans now have access to free screenings for mental health problems.,
,,,,,,,,,,,,,,,,,,,,,,"On #NationalRunningDay, Americans across the country are still running #BostonStrong.",
,,,,,,,,,,,,,,,,,,,,,,"RT if you agree: ""If you are a citizen, you shouldnâ€™t have to wait years before your family is able to join you in America.""â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"More than 750,000 Americans have signed this petition demanding background checks for gun sales. Add your name -- http://OFA.BO/r2ZeTTÂ ",
,,,,,,,,,,,,,,,,,,,,,,"600,000 Americans have signed this petition to Congress demanding action to prevent gun violence. Add your name: http://OFA.BO/KB9gVDÂ ",
,,,,,,,,,,,,,,,,,,,,,,What happens when a senator votes with 90 percent of Americans to prevent gun violence: http://OFA.BO/c7pLXkÂ pic.twitter.com/jzOmEWevrE,
,,,,,,,,,,,,,,,,,,,,,,"""The world has witnessed one sure and steadfast truth: Americans refuse to be terrorized."" â€”President Obamahttp://OFA.BO/cxjEy6Â ",
,,,,,,,,,,,,,,,,,,,,,,"""Sooner or later, we are going to get this right. The memories of these children demand it. And so do the American people."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""I want to make it clear to the American people that we can still bring about meaningful changes that reduce gun violence."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,RT if you agree: I am one of the 92% of Americans who support background checks for gun sales. #NowIsTheTime,
,,,,,,,,,,,,,,,,,,,,,,"""If you want to know who we are, what America is, how we respond to evilâ€”thatâ€™s it. Selflessly. Compassionately. Unafraid."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""The American people refuse to be terrorized."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""All Americans stand with the people of Boston."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"""On days like this there are no Republicans or Democratsâ€”we are Americans, united in concern for our fellow citizens."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"â€œIâ€™m going to keep asking the American people to stand up and raise their voices, because these measures deserve a vote.â€ â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"Obama: ""90% of Americans support universal background checks ... How often do 90% of Americans agree on anything?""pic.twitter.com/ioN96V2xUP",
,,,,,,,,,,,,,,,,,,,,,,RT if you're one of the 92% of Americans who want Congress to close background check loopholes for all gun sales:pic.twitter.com/DoD93gKbmb,
,,,,,,,,,,,,,,,,,,,,,,"RT if you agree: Our immigration system is brokenâ€”and it's time for Congress to fix it. #AmericanStory,pic.twitter.com/BlQXT8v4bp",
,,,,,,,,,,,,,,,,,,,,,,RT if you agree: Too many Americans are dying from gun violenceâ€”and it's time for Congress to act.pic.twitter.com/Td7afX178L,
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""I donâ€™t believe that weapons designed for theaters of war have a place in movie theaters. Most Americans agree with that.""",
,,,,,,,,,,,,,,,,,,,,,,"RT if you're 1 of the 92% of Americans who want Congress to pass background checks for all gun sales. #DemandAction,pic.twitter.com/UY98B3QTg2",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""Right now, 90% of Americansâ€”90%â€”support background checks that will keep criminals from buying a gun."" #DemandAction",
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since 1968, more Americans have died from gun violence than in all of America's warsâ€”combined. #DemandAction,pic.twitter.com/1fi0b1Rjas",
,,,,,,,,,,,,,,,,,,,,,,RT if you stand with the millions of Americans fighting for #MarriageEquality.pic.twitter.com/8KwFU1WFTN,
,,,,,,,,,,,,,,,,,,,,,,"""Every single American deserves to be treated equally in the eyes of the law."" #MarriageEquality,pic.twitter.com/z2sSpNJT91",
,,,,,,,,,,,,,,,,,,,,,,"Every American should be able to marry the person they love. #LoveIsLove,pic.twitter.com/pqtLL6QcqE",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""Right now, we have a real chance to reduce gun violence in America."" http://OFA.BO/eF2voDÂ  #TimeToAct",
,,,,,,,,,,,,,,,,,,,,,,"No American who works full time should have to live in poverty: http://OFA.BO/mVrbvmÂ ,pic.twitter.com/lsDKl86MRy",
,,,,,,,,,,,,,,,,,,,,,,Make sure your friends know why more than 9 in 10 Americans want Congress to pass universal background checks:pic.twitter.com/aFb4mNAGX5,
,,,,,,,,,,,,,,,,,,,,,,Hey Congress ---> More than 9 in 10 Americans support background checks for ALL gun salesâ€”and it's #TimeToAct.pic.twitter.com/2pJgwrdeA7,
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since 1968, more Americans have died from gun violence than in all of America's warsâ€”combined. #TimeToAct,pic.twitter.com/wpAWKKvm8T",
,,,,,,,,,,,,,,,,,,,,,,"""Michelle and I join our fellow Americans in paying tribute to all who served and sacrificed in one of our nationâ€™s longest wars."" #Iraq",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""Thatâ€™s who we are. That's been the American story. We donâ€™t stand still. We look forward. We invent. We build.""",
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since 1968, more Americans have died from gun violence than in all of America's warsâ€”combined. #WeDemandAVote,pic.twitter.com/brMESYQqSu",
,,,,,,,,,,,,,,,,,,,,,,Most Americans support background checks for all gun salesâ€”and it's time for Congress to make it happen.pic.twitter.com/KI7gAJg42R,
,,,,,,,,,,,,,,,,,,,,,,87 people die every day from gun violence in Americaâ€”and it's time to do something about it. http://OFA.BO/pDu76WÂ  #WeDemandAVote,
,,,,,,,,,,,,,,,,,,,,,,RT if you're one of the 92% of Americans who want Congress to pass universal background checks for gun sales.pic.twitter.com/SIKzEaUQ1O,
,,,,,,,,,,,,,,,,,,,,,,"FACT: Since 1968, 1.3 million Americans have died from gun violenceâ€”more than in all of the wars in American history. #WeDemandAVote",
,,,,,,,,,,,,,,,,,,,,,,"""Renewing this bill is an important step towards making sure no one in America is forced to live in fear."" http://OFA.BO/WR4cVCÂ  #VAWA",
,,,,,,,,,,,,,,,,,,,,,,"â€œIn a single moment, with the simplest of gestures, she helped change Americaâ€”and change the world.â€ â€”President Obama on Rosa Parks",
,,,,,,,,,,,,,,,,,,,,,,FACT: 92% of Americans and 74% of NRA members support universal background checks for gun sales.pic.twitter.com/kp8uJLFT,
,,,,,,,,,,,,,,,,,,,,,,RT if you agree: Congress should avoid brutal spending cuts and focus on making America a magnet for good jobs.pic.twitter.com/Hr7hDYnb,
,,,,,,,,,,,,,,,,,,,,,,"Obama: ""The American people have worked too hard, for too long, rebuilding from one crisis to see their elected officials cause another.""",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: â€œLetâ€™s give every child across America access to high-quality, public preschool.""",
,,,,,,,,,,,,,,,,,,,,,,RT if you agree: It's time for Congress to work with the President and ensure that hard work leads to a decent living for every American.,
,,,,,,,,,,,,,,,,,,,,,,President Obama's plan would raise the minimum wage to $9 an hour so an honest day's work pays more for 15 million Americans. #LivingWage,
,,,,,,,,,,,,,,,,,,,,,,FACT: 92% of Americans support requiring background checks for all gun salesâ€”RT if you're one of them.pic.twitter.com/y7OzOhkF,
,,,,,,,,,,,,,,,,,,,,,,"""It remains the task of us all, as citizens of these United States, to be the authors of the next great chapter in our American story.""",
,,,,,,,,,,,,,,,,,,,,,,"Obama: We may ""hold different views than the person beside us. But as Americans, we all share the same proud title: We are citizens."" #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"""Tonight, I propose working with states to make high-quality preschool available to every child in America."" #SOTU",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""Letâ€™s prove that there is no better place to do business than the United States of America."" #JobsNow",
,,,,,,,,,,,,,,,,,,,,,,"FACT: Under President Obama, we have more than doubled production of renewable energy from wind and solar. #MadeInAmerica",
,,,,,,,,,,,,,,,,,,,,,,"Obama: â€œAmerica moves forward only when we do so together, and that the responsibility of improving this union remains the task of us all.â€",
,,,,,,,,,,,,,,,,,,,,,,"â€œImmigration reminds us all of our individual roots, but amplifies the greatness of who we are as Americans.â€ â€”Randall S. #ImmigrationStory",
,,,,,,,,,,,,,,,,,,,,,,"RT if you're one of the 92% of Americans who support universal background checks for gun sales. #NowIsTheTime,pic.twitter.com/w15pbW6x",
,,,,,,,,,,,,,,,,,,,,,,"""Be courageous. Americans are counting on you."" â€” @GabbyGiffords urging the Senate today to take action on gun violencepic.twitter.com/RkBiJnu5",
,,,,,,,,,,,,,,,,,,,,,,"""What makes someone American is not just blood or birth, but allegiance to our founding principles."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"Thank you, God Bless you, and may He forever bless these United States of America.",
,,,,,,,,,,,,,,,,,,,,,,Our journey is not complete until we find a better way to welcome the immigrants who still see America as a land of opportunity.,
,,,,,,,,,,,,,,,,,,,,,,"""The only way we can change is if the American people demand it."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""Let me be absolutely clear: like most Americans, I believe the 2nd Amendment guarantees an individual right to bear arms.""",
,,,,,,,,,,,,,,,,,,,,,,President Obama on ending the war in Afghanistan and rebuilding America:http://OFA.BO/Urrm5TÂ ,
,,,,,,,,,,,,,,,,,,,,,,"President Obama: ""By the end of next year, Americaâ€™s war in Afghanistan will be over.""http://OFA.BO/PfK8QgÂ ",
,,,,,,,,,,,,,,,,,,,,,,"""When it comes to defense of our country, we are not Democrats or Republicans; we are Americans."" â€”President Obama",
,,,,,,,,,,,,,,,,,,,,,,"This week, we made sure that 98% of Americans & 97% of small businesses won't see their income taxes go up by one dime.http://OFA.BO/Mxx4f7Â ",
,,,,,,,,,,,,,,,,,,,,,,"""Under this law, more than 98% of Americans and 97% of small businesses will not see their income taxes go up."" â€”President Obama",
