year,month,date,obama_year,obama_month,obama_date,obama_tweet_count,trump_year,trump_month,trump_date,trump_tweet_count
2018,May,May 2018,,,,,2018,May,May 2018,259
2018,Jun,Jun 2018,,,,,2018,Jun,Jun 2018,386
2018,Jul,Jul 2018,,,,,2018,Jul,Jul 2018,336
2018,Aug,Aug 2018,,,,,2018,Aug,Aug 2018,380
2018,Sep,Sep 2018,,,,,2018,Sep,Sep 2018,383
2018,Oct,Oct 2018,,,,,2018,Oct,Oct 2018,384
2018,Nov,Nov 2018,,,,,2018,Nov,Nov 2018,338
2018,Dec,Dec 2018,,,,,2018,Dec,Dec 2018,294
2019,Jan,Jan 2019,,,,,2019,Jan,Jan 2019,369
2019,Feb,Feb 2019,,,,,2019,Feb,Feb 2019,249
2019,Mar,Mar 2019,,,,,2019,Mar,Mar 2019,405
2019,Apr,Apr 2019,,,,,2019,Apr,Apr 2019,431
2019,May,May 2019,,,,,2019,May,May 2019,692
2019,Jun,Jun 2019,,,,,2019,Jun,Jun 2019,487
2019,Jul,Jul 2019,,,,,2019,Jul,Jul 2019,692
2019,Aug,Aug 2019,,,,,2019,Aug,Aug 2019,690
2019,Sep,Sep 2019,,,,,2019,Sep,Sep 2019,797
2019,Oct,Oct 2019,,,,,2019,Oct,Oct 2019,1018
2019,Nov,Nov 2019,,,,,2019,Nov,Nov 2019,862
2019,Dec,Dec 2019,,,,,2019,Dec,Dec 2019,1126
2020,Jan,Jan 2020,,,,,2020,Jan,Jan 2020,964
2020,Feb,Feb 2020,,,,,2020,Feb,Feb 2020,899
2020,Mar,Mar 2020,,,,,2020,Mar,Mar 2020,970
2020,Apr,Apr 2020,,,,,2020,Apr,Apr 2020,840
2020,May,May 2020,,,,,2020,May,May 2020,1121
2020,Jun,Jun 2020,,,,,2020,Jun,Jun 2020,1119
2020,Jul,Jul 2020,,,,,2020,Jul,Jul 2020,869
2020,Aug,Aug 2020,,,,,2020,Aug,Aug 2020,1121
2020,Sep,Sep 2020,,,,,2020,Sep,Sep 2020,1363
2020,Oct,Oct 2020,,,,,2020,Oct,Oct 2020,1415
2020,Nov,Nov 2020,,,,,2020,Nov,Nov 2020,912
2020,Dec,Dec 2020,,,,,2020,Dec,Dec 2020,643
2021,Jan,Jan 2021,,,,,2021,Jan,Jan 2021,156
,,,,,,,,,,
